ENST00000456328	ENSG00000223972
ENST00000519603	ENSG00000253163
ENST00000503218	ENSG00000250674
ENST00000520758	ENSG00000253652
ENST00000500262	ENSG00000244945
ENST00000376974	ENSG00000204659
ENST00000442010	ENSG00000225051
ENST00000499601	ENSG00000245317
ENST00000510240	ENSG00000249412
ENST00000504573	ENSG00000248367
ENST00000507681	ENSG00000250509
ENST00000513535	ENSG00000248717
ENST00000307832	ENSG00000174339
ENST00000342868	ENSG00000168903
ENST00000513771	ENSG00000248473
ENST00000503314	ENSG00000248514
ENST00000499096	ENSG00000247049
ENST00000412295	ENSG00000248103
ENST00000509192	ENSG00000250765
ENST00000456475	ENSG00000230178
ENST00000436899	ENSG00000217929
ENST00000580119	ENSG00000263667
ENST00000381078	ENSG00000205653
ENST00000430842	ENSG00000230433
ENST00000380907	ENSG00000188996
ENST00000606285	ENSG00000272463
ENST00000607644	ENSG00000271727
ENST00000607084	ENSG00000271911
ENST00000606622	ENSG00000272485
ENST00000620188	ENSG00000276687
ENST00000612554	ENSG00000278343
ENST00000603854	ENSG00000270937
ENST00000314040	ENSG00000176515
ENST00000296839	ENSG00000164379
ENST00000627866	ENSG00000281809
ENST00000568244	ENSG00000261730
ENST00000259806	ENSG00000137273
ENST00000607350	ENSG00000272279
ENST00000628509	ENSG00000280916
ENST00000380874	ENSG00000054598
ENST00000606542	ENSG00000272465
ENST00000624527	ENSG00000164385
ENST00000440848	ENSG00000228718
ENST00000274643	ENSG00000145949
ENST00000380698	ENSG00000170542
ENST00000437718	ENSG00000228365
ENST00000433761	ENSG00000229282
ENST00000606441	ENSG00000272277
ENST00000447644	ENSG00000228170
ENST00000607565	ENSG00000272320
ENST00000443445	ENSG00000228793
ENST00000603791	ENSG00000270504
ENST00000566733	ENSG00000260604
ENST00000606564	ENSG00000272248
ENST00000415144	ENSG00000230648
ENST00000527831	ENSG00000254821
ENST00000427049	ENSG00000234817
ENST00000427591	ENSG00000237716
ENST00000437430	ENSG00000231811
ENST00000563079	ENSG00000260239
ENST00000568110	ENSG00000260673
ENST00000380106	ENSG00000205444
ENST00000436283	ENSG00000236336
ENST00000606227	ENSG00000271978
ENST00000405617	ENSG00000219607
ENST00000602500	ENSG00000270174
ENST00000454882	ENSG00000233064
ENST00000563225	ENSG00000261211
ENST00000432823	ENSG00000226281
ENST00000435429	ENSG00000224532
ENST00000422310	ENSG00000223342
ENST00000423568	ENSG00000203498
ENST00000451355	ENSG00000225092
ENST00000561592	ENSG00000261189
ENST00000283147	ENSG00000153162
ENST00000439891	ENSG00000232234
ENST00000415575	ENSG00000234763
ENST00000379660	ENSG00000124786
ENST00000503668	ENSG00000251164
ENST00000429060	ENSG00000230939
ENST00000431369	ENSG00000225775
ENST00000420389	ENSG00000228478
ENST00000431401	ENSG00000231056
ENST00000413129	ENSG00000237685
ENST00000379568	ENSG00000111845
ENST00000379491	ENSG00000124827
ENST00000436249	ENSG00000235051
ENST00000354666	ENSG00000197977
ENST00000416247	ENSG00000224531
ENST00000500636	ENSG00000247925
ENST00000419796	ENSG00000233656
ENST00000423149	ENSG00000242753
ENST00000379426	ENSG00000205269
ENST00000607169	ENSG00000271897
ENST00000412132	ENSG00000234427
ENST00000456036	ENSG00000225102
ENST00000379375	ENSG00000078401
ENST00000457945	ENSG00000234015
ENST00000606393	ENSG00000272379
ENST00000446001	ENSG00000237786
ENST00000566170	ENSG00000261071
ENST00000379170	ENSG00000050393
ENST00000607518	ENSG00000272209
ENST00000427011	ENSG00000233981
ENST00000455973	ENSG00000230631
ENST00000456440	ENSG00000237346
ENST00000434947	ENSG00000234540
ENST00000414740	ENSG00000229646
ENST00000607711	ENSG00000271888
ENST00000441978	ENSG00000235488
ENST00000451285	ENSG00000232947
ENST00000606924	ENSG00000272341
ENST00000259963	ENSG00000137414
ENST00000606771	ENSG00000272269
ENST00000340650	ENSG00000187566
ENST00000309983	ENSG00000137364
ENST00000443504	ENSG00000231662
ENST00000378700	ENSG00000172201
ENST00000324607	ENSG00000172197
ENST00000449143	ENSG00000227803
ENST00000433182	ENSG00000224707
ENST00000421167	ENSG00000233848
ENST00000426374	ENSG00000227089
ENST00000630914	ENSG00000280989
ENST00000637901	ENSG00000283480
ENST00000244745	ENSG00000124766
ENST00000566912	ENSG00000260455
ENST00000567753	ENSG00000261568
ENST00000510882	ENSG00000112273
ENST00000427775	ENSG00000228772
ENST00000431001	ENSG00000235743
ENST00000274766	ENSG00000146049
ENST00000607014	ENSG00000272345
ENST00000606921	ENSG00000272402
ENST00000565469	ENSG00000260286
ENST00000606385	ENSG00000272053
ENST00000428903	ENSG00000229313
ENST00000416595	ENSG00000223623
ENST00000424868	ENSG00000230372
ENST00000413898	ENSG00000235733
ENST00000297012	ENSG00000164508
ENST00000274764	ENSG00000146047
ENST00000357085	ENSG00000112343
ENST00000608931	ENSG00000272558
ENST00000606723	ENSG00000272462
ENST00000608919	ENSG00000272810
ENST00000244573	ENSG00000124610
ENST00000613854	ENSG00000275714
ENST00000617569	ENSG00000278637
ENST00000377745	ENSG00000278705
ENST00000621411	ENSG00000274267
ENST00000615868	ENSG00000278463
ENST00000615966	ENSG00000276410
ENST00000612966	ENSG00000278272
ENST00000343677	ENSG00000187837
ENST00000377803	ENSG00000197061
ENST00000338379	ENSG00000187475
ENST00000304218	ENSG00000168298
ENST00000635439	ENSG00000283064
ENST00000614247	ENSG00000277157
ENST00000635200	ENSG00000282988
ENST00000356476	ENSG00000197409
ENST00000341023	ENSG00000196866
ENST00000356530	ENSG00000277224
ENST00000615164	ENSG00000276966
ENST00000541790	ENSG00000273802
ENST00000303910	ENSG00000277075
ENST00000244534	ENSG00000124575
ENST00000244537	ENSG00000274618
ENST00000611444	ENSG00000275663
ENST00000618052	ENSG00000277775
ENST00000619466	ENSG00000275713
ENST00000614378	ENSG00000273983
ENST00000635537	ENSG00000218690
ENST00000377733	ENSG00000278588
ENST00000411553	ENSG00000228223
ENST00000641660	ENSG00000284607
ENST00000274849	ENSG00000146109
ENST00000562904	ENSG00000261584
ENST00000606374	ENSG00000272312
ENST00000607175	ENSG00000272468
ENST00000359193	ENSG00000196787
ENST00000615353	ENSG00000276180
ENST00000356950	ENSG00000197903
ENST00000377459	ENSG00000274997
ENST00000444565	ENSG00000158553
ENST00000607727	ENSG00000271755
ENST00000377401	ENSG00000185130
ENST00000358739	ENSG00000196747
ENST00000369163	ENSG00000278828
ENST00000333151	ENSG00000276368
ENST00000621112	ENSG00000273703
ENST00000355057	ENSG00000197238
ENST00000611927	ENSG00000273542
ENST00000618958	ENSG00000275221
ENST00000613174	ENSG00000276903
ENST00000331442	ENSG00000184357
ENST00000616365	ENSG00000275379
ENST00000618305	ENSG00000275126
ENST00000359611	ENSG00000278677
ENST00000616182	ENSG00000274641
ENST00000303324	ENSG00000168131
ENST00000244623	ENSG00000124657
ENST00000605945	ENSG00000272009
ENST00000377325	ENSG00000197279
ENST00000529104	ENSG00000219891
ENST00000340487	ENSG00000196812
ENST00000565046	ENSG00000261839
ENST00000377294	ENSG00000187626
ENST00000343684	ENSG00000189134
ENST00000621053	ENSG00000276302
ENST00000259883	ENSG00000137338
ENST00000289788	ENSG00000187987
ENST00000499525	ENSG00000246350
ENST00000456103	ENSG00000235570
ENST00000457253	ENSG00000225173
ENST00000444986	ENSG00000224157
ENST00000377186	ENSG00000204709
ENST00000438190	ENSG00000227214
ENST00000445544	ENSG00000244349
ENST00000377175	ENSG00000204704
ENST00000377173	ENSG00000204703
ENST00000419702	ENSG00000227206
ENST00000641739	ENSG00000203492
ENST00000641122	ENSG00000284656
ENST00000642091	ENSG00000230598
ENST00000396806	ENSG00000112462
ENST00000444197	ENSG00000206474
ENST00000377127	ENSG00000204687
ENST00000436804	ENSG00000229274
ENST00000377050	ENSG00000213886
ENST00000606834	ENSG00000272236
ENST00000630472	ENSG00000281831
ENST00000440874	ENSG00000231226
ENST00000623385	ENSG00000248167
ENST00000415195	ENSG00000235781
ENST00000442150	ENSG00000224328
ENST00000607476	ENSG00000272540
ENST00000607333	ENSG00000272273
ENST00000442852	ENSG00000237923
ENST00000458361	ENSG00000237775
ENST00000419481	ENSG00000233529
ENST00000561890	ENSG00000261272
ENST00000259870	ENSG00000204542
ENST00000376288	ENSG00000204539
ENST00000259845	ENSG00000204538
ENST00000412143	ENSG00000204528
ENST00000606367	ENSG00000272501
ENST00000606909	ENSG00000271821
ENST00000539514	ENSG00000256166
ENST00000606743	ENSG00000272221
ENST00000430364	ENSG00000230174
ENST00000376191	ENSG00000204511
ENST00000475917	ENSG00000254870
ENST00000449264	ENSG00000232810
ENST00000375911	ENSG00000204439
ENST00000422049	ENSG00000227198
ENST00000461287	ENSG00000204422
ENST00000375832	ENSG00000204424
ENST00000503322	ENSG00000250641
ENST00000491552	ENSG00000255152
ENST00000419679	ENSG00000235663
ENST00000375654	ENSG00000204390
ENST00000375650	ENSG00000204388
ENST00000434689	ENSG00000237080
ENST00000375527	ENSG00000204366
ENST00000630806	ENSG00000281756
ENST00000458633	ENSG00000233627
ENST00000342991	ENSG00000204338
ENST00000415626	ENSG00000229776
ENST00000375156	ENSG00000204315
ENST00000611838	ENSG00000277427
ENST00000425033	ENSG00000225914
ENST00000426643	ENSG00000228962
ENST00000374975	ENSG00000198502
ENST00000360004	ENSG00000196126
ENST00000419852	ENSG00000223534
ENST00000374940	ENSG00000237541
ENST00000420261	ENSG00000234515
ENST00000415875	ENSG00000223837
ENST00000580587	ENSG00000263756
ENST00000435074	ENSG00000224557
ENST00000414398	ENSG00000230313
ENST00000606432	ENSG00000272217
ENST00000395064	ENSG00000213588
ENST00000477984	ENSG00000197251
ENST00000607016	ENSG00000272325
ENST00000360359	ENSG00000064999
ENST00000274938	ENSG00000146197
ENST00000605896	ENSG00000272374
ENST00000316637	ENSG00000023892
ENST00000229769	ENSG00000112039
ENST00000402886	ENSG00000007866
ENST00000450618	ENSG00000228559
ENST00000452048	ENSG00000232909
ENST00000373861	ENSG00000204140
ENST00000437635	ENSG00000189325
ENST00000229812	ENSG00000112079
ENST00000629595	ENSG00000281450
ENST00000612677	ENSG00000255587
ENST00000427609	ENSG00000232598
ENST00000373491	ENSG00000065491
ENST00000373408	ENSG00000198937
ENST00000570443	ENSG00000204110
ENST00000445172	ENSG00000229559
ENST00000414875	ENSG00000227920
ENST00000415890	ENSG00000225945
ENST00000412822	ENSG00000226533
ENST00000439844	ENSG00000236355
ENST00000373256	ENSG00000112164
ENST00000359534	ENSG00000164626
ENST00000444731	ENSG00000227131
ENST00000373171	ENSG00000204092
ENST00000447315	ENSG00000226070
ENST00000338305	ENSG00000156564
ENST00000414505	ENSG00000236075
ENST00000442781	ENSG00000226454
ENST00000438818	ENSG00000237947
ENST00000244669	ENSG00000124701
ENST00000483722	ENSG00000112195
ENST00000564680	ENSG00000184106
ENST00000438967	ENSG00000231102
ENST00000593368	ENSG00000269387
ENST00000594586	ENSG00000268745
ENST00000417465	ENSG00000227516
ENST00000412701	ENSG00000223946
ENST00000562471	ENSG00000261068
ENST00000230361	ENSG00000112599
ENST00000053468	ENSG00000048544
ENST00000230381	ENSG00000112619
ENST00000372876	ENSG00000124659
ENST00000408925	ENSG00000221821
ENST00000372808	ENSG00000124713
ENST00000244711	ENSG00000124733
ENST00000607790	ENSG00000272223
ENST00000606123	ENSG00000272170
ENST00000265354	ENSG00000112658
ENST00000500590	ENSG00000245261
ENST00000372441	ENSG00000204052
ENST00000607571	ENSG00000271754
ENST00000607635	ENSG00000271970
ENST00000417591	ENSG00000203362
ENST00000424283	ENSG00000236961
ENST00000607600	ENSG00000272114
ENST00000637813	ENSG00000283573
ENST00000635943	ENSG00000283215
ENST00000451910	ENSG00000223469
ENST00000455005	ENSG00000231881
ENST00000372014	ENSG00000180992
ENST00000371477	ENSG00000096401
ENST00000436113	ENSG00000237530
ENST00000606796	ENSG00000271857
ENST00000563807	ENSG00000261080
ENST00000321037	ENSG00000001561
ENST00000415787	ENSG00000236466
ENST00000565422	ENSG00000230062
ENST00000438738	ENSG00000236164
ENST00000451135	ENSG00000225730
ENST00000296861	ENSG00000146072
ENST00000604014	ENSG00000270761
ENST00000446733	ENSG00000226594
ENST00000339488	ENSG00000244694
ENST00000274813	ENSG00000146085
ENST00000335783	ENSG00000031691
ENST00000371197	ENSG00000203972
ENST00000304801	ENSG00000170950
ENST00000437859	ENSG00000235122
ENST00000322066	ENSG00000177684
ENST00000398718	ENSG00000214642
ENST00000322246	ENSG00000180872
ENST00000415106	ENSG00000226733
ENST00000426547	ENSG00000233470
ENST00000454361	ENSG00000228689
ENST00000418518	ENSG00000225613
ENST00000340057	ENSG00000112115
ENST00000182527	ENSG00000065308
ENST00000602367	ENSG00000216775
ENST00000211314	ENSG00000096092
ENST00000493422	ENSG00000244067
ENST00000448991	ENSG00000243236
ENST00000566420	ENSG00000261745
ENST00000259803	ENSG00000137270
ENST00000605281	ENSG00000271367
ENST00000508884	ENSG00000249379
ENST00000448327	ENSG00000235899
ENST00000453790	ENSG00000227885
ENST00000429053	ENSG00000228614
ENST00000474641	ENSG00000271218
ENST00000441845	ENSG00000236996
ENST00000421465	ENSG00000228231
ENST00000425089	ENSG00000224984
ENST00000306858	ENSG00000168143
ENST00000562834	ENSG00000261116
ENST00000340465	ENSG00000187871
ENST00000370830	ENSG00000112175
ENST00000415663	ENSG00000227602
ENST00000426453	ENSG00000231441
ENST00000370693	ENSG00000112208
ENST00000421261	ENSG00000266579
ENST00000607119	ENSG00000272541
ENST00000607490	ENSG00000271761
ENST00000606125	ENSG00000272316
ENST00000622616	ENSG00000275773
ENST00000281156	ENSG00000112232
ENST00000370659	ENSG00000198225
ENST00000584934	ENSG00000266680
ENST00000429530	ENSG00000236345
ENST00000424274	ENSG00000232120
ENST00000412872	ENSG00000227706
ENST00000449928	ENSG00000223504
ENST00000445346	ENSG00000226497
ENST00000522264	ENSG00000253809
ENST00000418403	ENSG00000237643
ENST00000448363	ENSG00000224349
ENST00000606298	ENSG00000271967
ENST00000602823	ENSG00000269966
ENST00000456795	ENSG00000230597
ENST00000431997	ENSG00000223765
ENST00000445310	ENSG00000233844
ENST00000429832	ENSG00000229154
ENST00000370370	ENSG00000203909
ENST00000370367	ENSG00000203908
ENST00000445350	ENSG00000231332
ENST00000423099	ENSG00000223821
ENST00000428865	ENSG00000231652
ENST00000435946	ENSG00000223786
ENST00000421318	ENSG00000224583
ENST00000455530	ENSG00000238156
ENST00000533798	ENSG00000217488
ENST00000455554	ENSG00000236635
ENST00000626131	ENSG00000280511
ENST00000607287	ENSG00000271945
ENST00000369947	ENSG00000135312
ENST00000602452	ENSG00000269964
ENST00000449463	ENSG00000230309
ENST00000430931	ENSG00000229495
ENST00000604516	ENSG00000270362
ENST00000429444	ENSG00000231533
ENST00000607718	ENSG00000272137
ENST00000369838	ENSG00000198478
ENST00000438797	ENSG00000235357
ENST00000436418	ENSG00000233835
ENST00000369816	ENSG00000118402
ENST00000606629	ENSG00000272129
ENST00000569267	ENSG00000260645
ENST00000614959	ENSG00000277797
ENST00000457116	ENSG00000232031
ENST00000441949	ENSG00000224995
ENST00000418567	ENSG00000226453
ENST00000565962	ENSG00000260574
ENST00000451856	ENSG00000227215
ENST00000369724	ENSG00000013392
ENST00000369705	ENSG00000065833
ENST00000369700	ENSG00000146250
ENST00000443471	ENSG00000237874
ENST00000420766	ENSG00000228679
ENST00000444796	ENSG00000230852
ENST00000257776	ENSG00000135324
ENST00000455071	ENSG00000234155
ENST00000305344	ENSG00000168830
ENST00000606274	ENSG00000272008
ENST00000525899	ENSG00000164411
ENST00000429137	ENSG00000234426
ENST00000606729	ENSG00000271931
ENST00000275072	ENSG00000146281
ENST00000435041	ENSG00000198833
ENST00000438877	ENSG00000228124
ENST00000569865	ENSG00000260271
ENST00000434493	ENSG00000224605
ENST00000437768	ENSG00000224944
ENST00000564251	ENSG00000261038
ENST00000404689	ENSG00000220908
ENST00000452624	ENSG00000235099
ENST00000424678	ENSG00000229600
ENST00000424506	ENSG00000231143
ENST00000564541	ENSG00000261366
ENST00000430796	ENSG00000233797
ENST00000442184	ENSG00000224384
ENST00000229955	ENSG00000112218
ENST00000432438	ENSG00000226207
ENST00000418652	ENSG00000236920
ENST00000635423	ENSG00000283010
ENST00000328345	ENSG00000184486
ENST00000418945	ENSG00000228506
ENST00000607332	ENSG00000272017
ENST00000369215	ENSG00000112238
ENST00000565695	ENSG00000260000
ENST00000422930	ENSG00000227535
ENST00000606817	ENSG00000272102
ENST00000369110	ENSG00000085377
ENST00000452363	ENSG00000231628
ENST00000423489	ENSG00000237567
ENST00000602426	ENSG00000269919
ENST00000449180	ENSG00000233941
ENST00000632749	ENSG00000282408
ENST00000424162	ENSG00000229654
ENST00000606070	ENSG00000272476
ENST00000607298	ENSG00000271734
ENST00000419801	ENSG00000230248
ENST00000572422	ENSG00000219565
ENST00000426737	ENSG00000230290
ENST00000605885	ENSG00000271730
ENST00000563105	ENSG00000260273
ENST00000230122	ENSG00000112365
ENST00000423747	ENSG00000223537
ENST00000458693	ENSG00000232311
ENST00000569685	ENSG00000260188
ENST00000441448	ENSG00000197498
ENST00000425364	ENSG00000231046
ENST00000368847	ENSG00000173214
ENST00000444259	ENSG00000230177
ENST00000607386	ENSG00000271789
ENST00000607434	ENSG00000272356
ENST00000411895	ENSG00000229276
ENST00000531702	ENSG00000255389
ENST00000449069	ENSG00000227012
ENST00000603682	ENSG00000270661
ENST00000605586	ENSG00000271208
ENST00000433684	ENSG00000226440
ENST00000585504	ENSG00000281613
ENST00000441065	ENSG00000251258
ENST00000446322	ENSG00000232299
ENST00000445974	ENSG00000223811
ENST00000415883	ENSG00000236347
ENST00000456424	ENSG00000231912
ENST00000612661	ENSG00000277443
ENST00000434296	ENSG00000227502
ENST00000314481	ENSG00000175967
ENST00000435802	ENSG00000226079
ENST00000446525	ENSG00000228777
ENST00000606080	ENSG00000111816
ENST00000457319	ENSG00000236326
ENST00000420283	ENSG00000187189
ENST00000448740	ENSG00000237021
ENST00000368608	ENSG00000189241
ENST00000476099	ENSG00000244158
ENST00000420595	ENSG00000234117
ENST00000368599	ENSG00000178033
ENST00000368557	ENSG00000183807
ENST00000415736	ENSG00000226181
ENST00000368494	ENSG00000153989
ENST00000357525	ENSG00000198523
ENST00000429807	ENSG00000225549
ENST00000518570	ENSG00000253194
ENST00000368468	ENSG00000111885
ENST00000282561	ENSG00000152661
ENST00000339697	ENSG00000111897
ENST00000606756	ENSG00000272472
ENST00000441521	ENSG00000237321
ENST00000439075	ENSG00000236548
ENST00000423208	ENSG00000224506
ENST00000429007	ENSG00000232131
ENST00000229633	ENSG00000111911
ENST00000444229	ENSG00000231842
ENST00000567272	ENSG00000217325
ENST00000474293	ENSG00000255330
ENST00000625799	ENSG00000281248
ENST00000417390	ENSG00000227945
ENST00000458367	ENSG00000224733
ENST00000442449	ENSG00000233351
ENST00000368143	ENSG00000203756
ENST00000415964	ENSG00000227678
ENST00000454262	ENSG00000229923
ENST00000541421	ENSG00000256162
ENST00000315453	ENSG00000180658
ENST00000314099	ENSG00000236761
ENST00000367976	ENSG00000118523
ENST00000435287	ENSG00000227220
ENST00000434551	ENSG00000237110
ENST00000275200	ENSG00000146385
ENST00000275198	ENSG00000146383
ENST00000258034	ENSG00000135569
ENST00000466706	ENSG00000179073
ENST00000275216	ENSG00000146399
ENST00000367928	ENSG00000112299
ENST00000430895	ENSG00000234484
ENST00000412954	ENSG00000223542
ENST00000457081	ENSG00000234567
ENST00000606160	ENSG00000272428
ENST00000275230	ENSG00000146411
ENST00000412602	ENSG00000229722
ENST00000452888	ENSG00000227723
ENST00000447557	ENSG00000236389
ENST00000416448	ENSG00000240056
ENST00000447508	ENSG00000232876
ENST00000455534	ENSG00000236703
ENST00000434255	ENSG00000224374
ENST00000444302	ENSG00000234084
ENST00000416481	ENSG00000233534
ENST00000447848	ENSG00000236378
ENST00000564248	ENSG00000260418
ENST00000571188	ENSG00000220660
ENST00000607749	ENSG00000272189
ENST00000432477	ENSG00000234263
ENST00000574864	ENSG00000213109
ENST00000331858	ENSG00000182747
ENST00000458017	ENSG00000235399
ENST00000367734	ENSG00000177468
ENST00000637996	ENSG00000283265
ENST00000417932	ENSG00000226004
ENST00000421351	ENSG00000112378
ENST00000251691	ENSG00000112379
ENST00000527246	ENSG00000254440
ENST00000573100	ENSG00000262543
ENST00000572284	ENSG00000220600
ENST00000367658	ENSG00000112406
ENST00000619494	ENSG00000231329
ENST00000358430	ENSG00000164440
ENST00000454788	ENSG00000238099
ENST00000445585	ENSG00000225148
ENST00000455011	ENSG00000234147
ENST00000565399	ENSG00000259828
ENST00000574601	ENSG00000218351
ENST00000454401	ENSG00000236822
ENST00000450456	ENSG00000203733
ENST00000426166	ENSG00000237494
ENST00000437067	ENSG00000233138
ENST00000454411	ENSG00000237851
ENST00000417650	ENSG00000232618
ENST00000454588	ENSG00000227192
ENST00000423500	ENSG00000225752
ENST00000591892	ENSG00000278206
ENST00000450575	ENSG00000235740
ENST00000367576	ENSG00000135521
ENST00000367569	ENSG00000169976
ENST00000367568	ENSG00000135604
ENST00000431309	ENSG00000225311
ENST00000603994	ENSG00000270638
ENST00000603042	ENSG00000270828
ENST00000237281	ENSG00000118496
ENST00000367495	ENSG00000118508
ENST00000419168	ENSG00000237468
ENST00000562413	ENSG00000228283
ENST00000436295	ENSG00000227748
ENST00000606686	ENSG00000272397
ENST00000359838	ENSG00000196634
ENST00000367474	ENSG00000203727
ENST00000448909	ENSG00000226249
ENST00000422023	ENSG00000234675
ENST00000417838	ENSG00000230205
ENST00000423268	ENSG00000224658
ENST00000413845	ENSG00000227660
ENST00000433442	ENSG00000236591
ENST00000637957	ENSG00000283608
ENST00000326669	ENSG00000177688
ENST00000446392	ENSG00000235168
ENST00000367419	ENSG00000055211
ENST00000627304	ENSG00000281021
ENST00000419134	ENSG00000233330
ENST00000623174	ENSG00000278899
ENST00000455607	ENSG00000231760
ENST00000472053	ENSG00000273132
ENST00000606915	ENSG00000268592
ENST00000367351	ENSG00000131015
ENST00000229708	ENSG00000111981
ENST00000533735	ENSG00000218358
ENST00000456346	ENSG00000235972
ENST00000361131	ENSG00000198729
ENST00000358517	ENSG00000120278
ENST00000430770	ENSG00000232891
ENST00000456018	ENSG00000224029
ENST00000455229	ENSG00000226599
ENST00000445833	ENSG00000232290
ENST00000415477	ENSG00000223598
ENST00000431947	ENSG00000231883
ENST00000325144	ENSG00000181472
ENST00000451697	ENSG00000233823
ENST00000641922	ENSG00000284615
ENST00000412161	ENSG00000234577
ENST00000458194	ENSG00000226193
ENST00000449282	ENSG00000233464
ENST00000392385	ENSG00000213121
ENST00000436953	ENSG00000237312
ENST00000435295	ENSG00000235381
ENST00000367165	ENSG00000171217
ENST00000453579	ENSG00000232529
ENST00000159060	ENSG00000074771
ENST00000604082	ENSG00000271265
ENST00000603191	ENSG00000271551
ENST00000604792	ENSG00000270487
ENST00000442936	ENSG00000233044
ENST00000603032	ENSG00000271040
ENST00000392185	ENSG00000130340
ENST00000411838	ENSG00000234361
ENST00000446768	ENSG00000236324
ENST00000442328	ENSG00000233496
ENST00000607778	ENSG00000272047
ENST00000619713	ENSG00000274023
ENST00000367090	ENSG00000146433
ENST00000451712	ENSG00000233893
ENST00000522287	ENSG00000243775
ENST00000446887	ENSG00000226032
ENST00000421161	ENSG00000224478
ENST00000419703	ENSG00000235086
ENST00000427460	ENSG00000231178
ENST00000429657	ENSG00000234777
ENST00000430078	ENSG00000237927
ENST00000434562	ENSG00000236823
ENST00000252660	ENSG00000130368
ENST00000569097	ENSG00000213073
ENST00000419196	ENSG00000230234
ENST00000275300	ENSG00000146477
ENST00000420601	ENSG00000233342
ENST00000417479	ENSG00000231863
ENST00000608721	ENSG00000272841
ENST00000626335	ENSG00000281692
ENST00000604200	ENSG00000270419
ENST00000446476	ENSG00000228692
ENST00000452944	ENSG00000235538
ENST00000564697	ENSG00000260422
ENST00000451328	ENSG00000230627
ENST00000434356	ENSG00000226739
ENST00000435810	ENSG00000236627
ENST00000431017	ENSG00000223942
ENST00000629776	ENSG00000281832
ENST00000456477	ENSG00000231297
ENST00000444219	ENSG00000233365
ENST00000629925	ENSG00000280850
ENST00000322583	ENSG00000176381
ENST00000568025	ENSG00000261420
ENST00000416770	ENSG00000232082
ENST00000455390	ENSG00000231654
ENST00000444102	ENSG00000227598
ENST00000609590	ENSG00000272980
ENST00000366834	ENSG00000120436
ENST00000454185	ENSG00000231720
ENST00000439207	ENSG00000228648
ENST00000239587	ENSG00000120440
ENST00000609107	ENSG00000272549
ENST00000400831	ENSG00000203688
ENST00000597278	ENSG00000269155
ENST00000457340	ENSG00000234768
ENST00000424343	ENSG00000237987
ENST00000434596	ENSG00000228361
ENST00000445442	ENSG00000224417
ENST00000568306	ENSG00000260771
ENST00000436492	ENSG00000235815
ENST00000444586	ENSG00000225879
ENST00000419800	ENSG00000229720
ENST00000564830	ENSG00000261039
ENST00000444188	ENSG00000226445
ENST00000607876	ENSG00000272848
ENST00000332290	ENSG00000185127
ENST00000413088	ENSG00000232640
ENST00000430250	ENSG00000227704
ENST00000586101	ENSG00000266896
ENST00000437615	ENSG00000229214
ENST00000420557	ENSG00000231690
ENST00000427017	ENSG00000236173
ENST00000429305	ENSG00000232197
ENST00000610240	ENSG00000273100
ENST00000452071	ENSG00000230960
ENST00000607733	ENSG00000271820
ENST00000366756	ENSG00000198719
ENST00000603529	ENSG00000271234
ENST00000564198	ENSG00000261003
ENST00000448824	ENSG00000234986
ENST00000438217	ENSG00000213863
ENST00000426839	ENSG00000230423
ENST00000415530	ENSG00000225532
ENST00000465755	ENSG00000232325
ENST00000478759	ENSG00000242611
ENST00000567533	ENSG00000261795
ENST00000497017	ENSG00000239715
ENST00000467050	ENSG00000240093
ENST00000506382	ENSG00000248767
ENST00000515213	ENSG00000249574
ENST00000434541	ENSG00000234471
ENST00000452622	ENSG00000223855
ENST00000453149	ENSG00000229380
ENST00000429872	ENSG00000237181
ENST00000609998	ENSG00000273151
ENST00000418941	ENSG00000225146
ENST00000549241	ENSG00000257607
ENST00000449721	ENSG00000224079
ENST00000415656	ENSG00000226291
ENST00000316333	ENSG00000164853
ENST00000453798	ENSG00000233082
ENST00000445345	ENSG00000225981
ENST00000609755	ENSG00000273230
ENST00000416100	ENSG00000231927
ENST00000343242	ENSG00000198517
ENST00000421380	ENSG00000231476
ENST00000450458	ENSG00000234977
ENST00000443103	ENSG00000230914
ENST00000423194	ENSG00000237286
ENST00000437145	ENSG00000228334
ENST00000414126	ENSG00000231892
ENST00000437354	ENSG00000236708
ENST00000439177	ENSG00000224593
ENST00000427920	ENSG00000236510
ENST00000639380	ENSG00000283991
ENST00000404991	ENSG00000218823
ENST00000498308	ENSG00000273313
ENST00000422060	ENSG00000159904
ENST00000342963	ENSG00000241269
ENST00000455866	ENSG00000188365
ENST00000609130	ENSG00000272953
ENST00000610122	ENSG00000234432
ENST00000608012	ENSG00000273084
ENST00000444210	ENSG00000230733
ENST00000609813	ENSG00000272719
ENST00000443837	ENSG00000237738
ENST00000409061	ENSG00000157999
ENST00000434951	ENSG00000232581
ENST00000457543	ENSG00000236609
ENST00000608770	ENSG00000272732
ENST00000609858	ENSG00000272745
ENST00000469183	ENSG00000283549
ENST00000418534	ENSG00000234718
ENST00000451066	ENSG00000234141
ENST00000428660	ENSG00000233108
ENST00000449931	ENSG00000227719
ENST00000458624	ENSG00000244239
ENST00000424460	ENSG00000229970
ENST00000447999	ENSG00000234710
ENST00000451755	ENSG00000235431
ENST00000634803	ENSG00000283117
ENST00000422697	ENSG00000236414
ENST00000604183	ENSG00000271185
ENST00000425837	ENSG00000230435
ENST00000433040	ENSG00000225606
ENST00000437088	ENSG00000229233
